interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
2,9/8/2023,16:49,Female,22,Senior,LA Area,5,Female,32,Other,LA Area,Close friend,More than once a week,Male,34,Other,LA Area,Close friend,More than once a week,Female,22,Other,LA Area,Close friend,More than once a week,Female,22,Other,LA Area,Close friend,Once a week,Male,21,Senior,LA Area,Close friend,More than once a week
3,9/8/2023,17:04,Male,23,Senior,Bay Area,5,Male,21,Senior,Rest of California,Close friend,Once a week,Male,24,Senior,Rest of California,Close friend,Once a week,Female,23,Senior,Bay Area,Close friend,More than once a week,Female,21,Junior,Bay Area,Friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week
1,8/31/2023,14:25,Male,21,Senior,LA Area,5,Male,24,Senior,Rest of United States,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Female,21,Senior,Bay Area,Close friend,Once a month,Male,21,Other,Rest of California,Close friend,Once a month,Male,22,Other,Rest of California,Close friend,Once a week
2,9/4/2023,19:00,Male,21,Senior,Rest of World,6+,Male,21,Senior,Rest of World,Close friend,More than once a week,Female,21,Senior,Rest of World,Close friend,More than once a week,Male,22,Senior,Rest of World,Friend,More than once a week,Male,21,Other,Rest of World,Close friend,Once a month,Female,21,Senior,Rest of World,Close friend,More than once a week
2,9/4/2023,10:00,Female,22,Senior,Rest of California,5,Female,21,Junior,LA Area,Close friend,More than once a week,Female,22,Senior,LA Area,Close friend,Once a month,Female,25,Other,Rest of California,Close friend,More than once a week,Male,55,Other,Rest of California,Close friend,More than once a week,Male,28,Other,Rest of California,Close friend,More than once a week
1,8/31/2023,14:25,Female,21,Junior,LA Area,5,Female,22,Senior,LA Area,Close friend,More than once a week,Female,21,Other,LA Area,Close friend,Once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
3,9/6/2023,18:15,Female,21,Senior,Rest of United States,5,Female,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,55,Other,Rest of United States,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,22,Senior,Rest of United States,Close friend,More than once a week
1,8/31/2023,15:00,Male,20,Junior,Rest of World,5,Female,19,Sophomore,Rest of World,Close friend,More than once a week,Male,20,Junior,Bay Area,Friend,Once a week,Female,22,Other,Bay Area,Close friend,Once a week,Male,20,Junior,Bay Area,Friend,Once a week,Female,50,Other,Bay Area,Close friend,Once a week
2,9/5/2023,10:30,Female,19,Junior,Rest of World,5,Female,49,Other,Rest of World,Acquaintance,More than once a week,Male,45,Other,Rest of World,Friend,Once a month,Female,18,Junior,Rest of World,Friend,Once a month,Female,20,Junior,Rest of World,Friend,Once a month,Male,21,Senior,Rest of World,Friend,Once a month
3,9/5/2023,8:00,Female,20,Junior,Rest of World,5,Female,20,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,More than once a week,Male,20,Junior,Rest of World,Friend,More than once a week,Female,20,Junior,Rest of World,Friend,Once a month
2,9/3/2023,19:00,Female,19,Junior,LA Area,6+,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week,Female,19,Freshman,LA Area,Close friend,Once a week
1,8/31/2023,14:30,Male,23,Junior,Bay Area,5,Male,24,Other,Bay Area,Close friend,Once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Female,30,Other,Bay Area,Close friend,More than once a week,Male,63,Other,Bay Area,Close friend,More than once a week,Female,58,Other,Bay Area,Close friend,More than once a week
